id,home_team_win
0,True
1,False
2,True
3,False
4,True
5,True
6,True
7,False
8,True
9,True
10,True
11,False
12,True
13,False
14,True
15,False
16,True
17,True
18,True
19,False
20,True
21,True
22,True
23,False
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,False
39,True
40,True
41,True
42,False
43,False
44,True
45,False
46,True
47,True
48,True
49,True
50,True
51,False
52,False
53,False
54,False
55,True
56,True
57,True
58,True
59,False
60,False
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,False
71,True
72,False
73,True
74,False
75,True
76,True
77,True
78,True
79,False
80,False
81,True
82,True
83,True
84,True
85,False
86,True
87,True
88,True
89,False
90,False
91,False
92,True
93,True
94,False
95,False
96,False
97,True
98,False
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,False
108,False
109,True
110,False
111,False
112,True
113,False
114,False
115,False
116,True
117,True
118,True
119,True
120,False
121,True
122,True
123,False
124,True
125,True
126,False
127,True
128,True
129,False
130,False
131,True
132,True
133,True
134,False
135,False
136,False
137,False
138,True
139,False
140,True
141,True
142,False
143,True
144,False
145,False
146,True
147,True
148,False
149,True
150,True
151,False
152,True
153,False
154,True
155,True
156,False
157,False
158,True
159,False
160,True
161,False
162,False
163,True
164,True
165,True
166,False
167,True
168,True
169,False
170,True
171,True
172,True
173,True
174,False
175,True
176,False
177,True
178,True
179,True
180,True
181,True
182,False
183,False
184,True
185,False
186,False
187,True
188,True
189,False
190,False
191,False
192,True
193,False
194,True
195,False
196,True
197,True
198,False
199,False
200,False
201,False
202,False
203,True
204,False
205,True
206,False
207,True
208,True
209,False
210,False
211,True
212,True
213,False
214,False
215,True
216,False
217,True
218,False
219,True
220,True
221,False
222,False
223,True
224,False
225,True
226,False
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,False
235,False
236,True
237,False
238,False
239,False
240,True
241,True
242,False
243,True
244,True
245,True
246,False
247,True
248,False
249,False
250,True
251,False
252,False
253,True
254,False
255,True
256,True
257,False
258,True
259,False
260,False
261,False
262,True
263,True
264,True
265,False
266,False
267,True
268,True
269,True
270,True
271,True
272,True
273,False
274,True
275,False
276,False
277,False
278,False
279,True
280,False
281,True
282,False
283,True
284,True
285,False
286,False
287,True
288,True
289,False
290,True
291,True
292,True
293,False
294,True
295,True
296,True
297,False
298,False
299,False
300,True
301,True
302,True
303,False
304,True
305,True
306,False
307,False
308,False
309,False
310,True
311,False
312,False
313,False
314,True
315,True
316,False
317,False
318,True
319,True
320,True
321,True
322,True
323,True
324,False
325,False
326,False
327,False
328,False
329,True
330,False
331,True
332,True
333,True
334,False
335,True
336,True
337,False
338,False
339,True
340,False
341,True
342,True
343,True
344,True
345,False
346,True
347,True
348,True
349,True
350,False
351,False
352,True
353,True
354,False
355,False
356,False
357,False
358,True
359,False
360,False
361,True
362,False
363,True
364,True
365,True
366,False
367,False
368,True
369,True
370,True
371,True
372,True
373,False
374,False
375,True
376,False
377,False
378,True
379,True
380,True
